film,filmLabel,publication_date,genreLabel,country_of_originLabel,duration
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-01-01T00:00:00Z,drama film,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-01-01T00:00:00Z,crime film,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-01-01T00:00:00Z,romance film,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-01-01T00:00:00Z,neo-noir,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-01-01T00:00:00Z,film based on a novel,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-08-13T00:00:00Z,drama film,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-08-13T00:00:00Z,crime film,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-08-13T00:00:00Z,romance film,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-08-13T00:00:00Z,neo-noir,United States of America,122
http://www.wikidata.org/entity/Q36739,The Postman Always Rings Twice,1981-08-13T00:00:00Z,film based on a novel,United States of America,122
http://www.wikidata.org/entity/Q38143,The File of the Golden Goose,1969-01-01T00:00:00Z,drama film,United Kingdom,109
http://www.wikidata.org/entity/Q38143,The File of the Golden Goose,1969-01-01T00:00:00Z,thriller film,United Kingdom,109
http://www.wikidata.org/entity/Q38226,Basileus Quartet,1982-01-01T00:00:00Z,drama film,Italy,128
http://www.wikidata.org/entity/Q38226,Basileus Quartet,1982-01-01T00:00:00Z,drama film,France,128
http://www.wikidata.org/entity/Q38235,The Girl from Nowhere,2012-08-08T00:00:00Z,drama film,France,91
http://www.wikidata.org/entity/Q38297,Back to Stay,2011-08-08T00:00:00Z,comedy film,Switzerland,98
http://www.wikidata.org/entity/Q38297,Back to Stay,2011-08-08T00:00:00Z,comedy drama,Switzerland,98
http://www.wikidata.org/entity/Q38297,Back to Stay,2011-08-08T00:00:00Z,comedy film,Argentina,98
http://www.wikidata.org/entity/Q38297,Back to Stay,2011-08-08T00:00:00Z,comedy drama,Argentina,98
http://www.wikidata.org/entity/Q38297,Back to Stay,2014-09-25T00:00:00Z,comedy film,Switzerland,98
http://www.wikidata.org/entity/Q38297,Back to Stay,2014-09-25T00:00:00Z,comedy drama,Switzerland,98
http://www.wikidata.org/entity/Q38297,Back to Stay,2014-09-25T00:00:00Z,comedy film,Argentina,98
http://www.wikidata.org/entity/Q38297,Back to Stay,2014-09-25T00:00:00Z,comedy drama,Argentina,98
http://www.wikidata.org/entity/Q38297,Back to Stay,2011-08-08T00:00:00Z,comedy film,Switzerland,99
http://www.wikidata.org/entity/Q38297,Back to Stay,2011-08-08T00:00:00Z,comedy drama,Switzerland,99
http://www.wikidata.org/entity/Q38297,Back to Stay,2011-08-08T00:00:00Z,comedy film,Argentina,99
http://www.wikidata.org/entity/Q38297,Back to Stay,2011-08-08T00:00:00Z,comedy drama,Argentina,99
http://www.wikidata.org/entity/Q38297,Back to Stay,2014-09-25T00:00:00Z,comedy film,Switzerland,99
http://www.wikidata.org/entity/Q38297,Back to Stay,2014-09-25T00:00:00Z,comedy drama,Switzerland,99
http://www.wikidata.org/entity/Q38297,Back to Stay,2014-09-25T00:00:00Z,comedy film,Argentina,99
http://www.wikidata.org/entity/Q38297,Back to Stay,2014-09-25T00:00:00Z,comedy drama,Argentina,99
http://www.wikidata.org/entity/Q38365,The Long Duel,1967-07-27T00:00:00Z,drama film,United Kingdom,115
http://www.wikidata.org/entity/Q38365,The Long Duel,1967-07-27T00:00:00Z,adventure film,United Kingdom,115
http://www.wikidata.org/entity/Q38486,The Death and Life of Bobby Z,2007-01-01T00:00:00Z,action film,United States of America,97
http://www.wikidata.org/entity/Q38486,The Death and Life of Bobby Z,2007-01-01T00:00:00Z,crime film,United States of America,97
http://www.wikidata.org/entity/Q38486,The Death and Life of Bobby Z,2007-01-01T00:00:00Z,film based on a novel,United States of America,97
http://www.wikidata.org/entity/Q38486,The Death and Life of Bobby Z,2007-01-01T00:00:00Z,action film,Germany,97
http://www.wikidata.org/entity/Q38486,The Death and Life of Bobby Z,2007-01-01T00:00:00Z,crime film,Germany,97
http://www.wikidata.org/entity/Q38486,The Death and Life of Bobby Z,2007-01-01T00:00:00Z,film based on a novel,Germany,97
http://www.wikidata.org/entity/Q38561,The Madwoman of Chaillot,1969-01-01T00:00:00Z,drama film,United States of America,132
http://www.wikidata.org/entity/Q38561,The Madwoman of Chaillot,1969-01-01T00:00:00Z,comedy film,United States of America,132
http://www.wikidata.org/entity/Q38561,The Madwoman of Chaillot,1969-01-01T00:00:00Z,drama film,United Kingdom,132
http://www.wikidata.org/entity/Q38561,The Madwoman of Chaillot,1969-01-01T00:00:00Z,comedy film,United Kingdom,132
http://www.wikidata.org/entity/Q38815,The Day of the Owl,1968-01-01T00:00:00Z,drama film,Italy,112
http://www.wikidata.org/entity/Q38815,The Day of the Owl,1968-01-01T00:00:00Z,crime thriller,Italy,112
http://www.wikidata.org/entity/Q38815,The Day of the Owl,1968-01-01T00:00:00Z,drama film,France,112
http://www.wikidata.org/entity/Q38815,The Day of the Owl,1968-01-01T00:00:00Z,crime thriller,France,112
http://www.wikidata.org/entity/Q38970,Rumpelstiltskin,1995-01-01T00:00:00Z,horror film,United States of America,87
http://www.wikidata.org/entity/Q39005,The Pleasure Garden,1925-01-01T00:00:00Z,drama film,United Kingdom,82
http://www.wikidata.org/entity/Q39005,The Pleasure Garden,1925-01-01T00:00:00Z,silent film,United Kingdom,82
http://www.wikidata.org/entity/Q39005,The Pleasure Garden,1925-01-01T00:00:00Z,crime film,United Kingdom,82
http://www.wikidata.org/entity/Q39005,The Pleasure Garden,1925-01-01T00:00:00Z,drama film,Germany,82
http://www.wikidata.org/entity/Q39005,The Pleasure Garden,1925-01-01T00:00:00Z,silent film,Germany,82
http://www.wikidata.org/entity/Q39005,The Pleasure Garden,1925-01-01T00:00:00Z,crime film,Germany,82
http://www.wikidata.org/entity/Q39409,Our Very Own,1950-01-01T00:00:00Z,drama film,United States of America,93
http://www.wikidata.org/entity/Q39422,My Forbidden Past,1951-01-01T00:00:00Z,drama film,United States of America,71
http://www.wikidata.org/entity/Q39422,My Forbidden Past,1951-01-01T00:00:00Z,romance film,United States of America,71
http://www.wikidata.org/entity/Q39946,The Hidden Fortress,1958-12-25T00:00:00Z,drama film,Japan,139
http://www.wikidata.org/entity/Q39946,The Hidden Fortress,1958-12-25T00:00:00Z,adventure film,Japan,139
http://www.wikidata.org/entity/Q39946,The Hidden Fortress,1958-12-28T00:00:00Z,drama film,Japan,139
http://www.wikidata.org/entity/Q39946,The Hidden Fortress,1958-12-28T00:00:00Z,adventure film,Japan,139
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-01-01T00:00:00Z,action film,Canada,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-01-01T00:00:00Z,war film,Canada,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-01-01T00:00:00Z,thriller film,Canada,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-01-01T00:00:00Z,action film,United States of America,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-01-01T00:00:00Z,war film,United States of America,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-01-01T00:00:00Z,thriller film,United States of America,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-07-03T00:00:00Z,action film,Canada,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-07-03T00:00:00Z,war film,Canada,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-07-03T00:00:00Z,thriller film,Canada,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-07-03T00:00:00Z,action film,United States of America,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-07-03T00:00:00Z,war film,United States of America,117
http://www.wikidata.org/entity/Q39956,Iron Eagle,1986-07-03T00:00:00Z,thriller film,United States of America,117
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1988-01-01T00:00:00Z,action film,Canada,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1988-01-01T00:00:00Z,thriller film,Canada,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1988-01-01T00:00:00Z,action film,United States of America,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1988-01-01T00:00:00Z,thriller film,United States of America,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1988-01-01T00:00:00Z,action film,Israel,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1988-01-01T00:00:00Z,thriller film,Israel,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1989-01-05T00:00:00Z,action film,Canada,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1989-01-05T00:00:00Z,thriller film,Canada,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1989-01-05T00:00:00Z,action film,United States of America,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1989-01-05T00:00:00Z,thriller film,United States of America,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1989-01-05T00:00:00Z,action film,Israel,95
http://www.wikidata.org/entity/Q39960,Iron Eagle II,1989-01-05T00:00:00Z,thriller film,Israel,95
http://www.wikidata.org/entity/Q39969,Aces: Iron Eagle III,1991-01-01T00:00:00Z,action film,United States of America,99
http://www.wikidata.org/entity/Q39969,Aces: Iron Eagle III,1992-01-09T00:00:00Z,action film,United States of America,99
http://www.wikidata.org/entity/Q39970,Buffy the Vampire Slayer,1992-01-01T00:00:00Z,fantasy film,United States of America,82
http://www.wikidata.org/entity/Q39970,Buffy the Vampire Slayer,1992-01-01T00:00:00Z,comedy film,United States of America,82
http://www.wikidata.org/entity/Q39970,Buffy the Vampire Slayer,1992-01-01T00:00:00Z,horror film,United States of America,82
http://www.wikidata.org/entity/Q39970,Buffy the Vampire Slayer,1992-01-01T00:00:00Z,comedy horror,United States of America,82
http://www.wikidata.org/entity/Q39970,Buffy the Vampire Slayer,1992-01-01T00:00:00Z,teen film,United States of America,82
http://www.wikidata.org/entity/Q39970,Buffy the Vampire Slayer,1992-01-01T00:00:00Z,vampire film,United States of America,82
http://www.wikidata.org/entity/Q39970,Buffy the Vampire Slayer,1992-01-01T00:00:00Z,action comedy film,United States of America,82
http://www.wikidata.org/entity/Q39975,Dazed and Confused,1993-01-01T00:00:00Z,drama film,United States of America,98
http://www.wikidata.org/entity/Q39975,Dazed and Confused,1993-01-01T00:00:00Z,comedy film,United States of America,98
http://www.wikidata.org/entity/Q39975,Dazed and Confused,1993-01-01T00:00:00Z,teen film,United States of America,98
http://www.wikidata.org/entity/Q39975,Dazed and Confused,1995-06-01T00:00:00Z,drama film,United States of America,98
http://www.wikidata.org/entity/Q39975,Dazed and Confused,1995-06-01T00:00:00Z,comedy film,United States of America,98
http://www.wikidata.org/entity/Q39975,Dazed and Confused,1995-06-01T00:00:00Z,teen film,United States of America,98
